Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
OECD,11216,11257,11300,11393,11582,11734,12117,12383,12386,12474,12776,12800,12729,12953,13081,13120,13051,13201,12868,12127,12640,12418,12285,12303,12103,12000,11944,11931,11902,11568,10512,11120,11149
G7,8625,8608,8641,8699,8813,8908,9162,9380,9413,9465,9670,9664,9537,9660,9723,9734,9598,9689,9394,8758,9131,8896,8779,8873,8743,8561,8440,8340,8374,8135,7354,7824,7858
BRICS,5428,5587,5536,5580,5538,5759,5792,5796,5924,5929,6150,6345,6640,7300,8116,8788,9506,10087,10424,10924,11777,12625,13069,13520,13706,13625,13569,13938,14439,14560,14340,15303,15570
Europe,4428,4405,4270,4191,4142,4200,4346,4273,4277,4208,4249,4309,4305,4427,4438,4423,4473,4433,4349,4045,4179,4067,4046,3946,3777,3833,3850,3904,3821,3656,3349,3587,3514
EuropeanUnion,3561,3543,3417,3356,3334,3382,3481,3415,3406,3354,3360,3420,3418,3502,3506,3489,3506,3456,3384,3134,3238,3143,3096,3018,2883,2931,2944,2972,2902,2762,2499,2679,2629
Belgium,3561,111,110,108,114,114,120,116,119,115,117,117,111,115,114,112,111,107,109,100,109,99,98,99,92,97,96,95,96,95,87,91,87
Czechia,150,139,134,132,127,127,130,125,120,112,122,122,119,122,123,121,122,123,118,110,114,110,107,103,100,101,102,104,103,98,89,94,97
France,359,388,376,357,351,361,375,366,389,385,384,386,378,384,385,388,379,370,363,347,352,339,344,344,313,318,319,326,317,309,274,302,289
Germany,964,947,900,889,873,873,899,870,861,830,826,849,836,833,819,801,812,782,790,733,777,747,769,787,752,752,761,743,714,668,613,652,636
Italy,397,398,398,393,388,411,408,412,423,428,432,430,438,454,461,463,461,451,440,393,402,393,375,344,328,336,333,329,324,315,281,312,311
Netherlands,168,175,173,177,178,181,190,185,185,180,181,186,188,191,193,190,186,186,185,180,192,180,178,176,168,175,177,174,169,162,147,155,139
Poland,354,354,346,346,339,340,354,344,318,310,296,296,289,301,304,305,318,316,313,301,320,315,309,306,292,297,307,320,319,302,286,316,300
Portugal,40,42,46,44,45,49,47,50,54,61,61,60,64,60,61,64,59,57,55,54,49,48,47,45,44,49,48,52,48,44,38,36,39
Romania,162,135,124,118,113,117,121,112,98,85,87,93,93,97,96,92,96,93,92,78,75,82,79,70,69,69,68,71,72,70,65,71,67
Spain,207,216,227,213,222,233,223,243,251,272,288,289,306,314,329,343,336,346,318,282,269,272,268,242,241,256,248,264,259,240,201,216,228
Sweden,53,53,53,53,56,55,61,55,56,55,51,52,54,55,53,51,52,49,48,44,49,45,42,41,39,39,39,39,36,36,34,37,37
UnitedKingdom,556,564,558,541,533,524,545,520,526,523,532,544,529,543,544,542,543,532,516,469,485,446,468,455,415,402,382,367,361,345,308,332,323
Norway,28,26,29,31,33,32,33,35,37,38,33,35,34,37,37,36,37,38,39,39,42,40,40,41,41,42,41,41,41,39,38,36,36
Turkiye,136,136,142,148,146,160,176,185,186,184,205,186,196,211,214,222,248,271,270,269,276,296,308,296,319,331,351,392,389,380,380,412,400
CIS,3556,3499,3173,2869,2514,2415,2300,2168,2150,2182,2207,2200,2197,2270,2279,2296,2383,2382,2430,2232,2391,2495,2465,2413,2300,2234,2237,2283,2379,2390,2292,2518,2458
Kazakhstan,236,243,249,212,192,168,146,123,126,113,117,113,123,139,150,161,182,193,225,199,217,232,234,251,203,176,191,204,205,195,202,214,221
Russia,2189,2190,2017,1849,1629,1583,1565,1472,1455,1502,1522,1528,1511,1552,1550,1548,1609,1589,1604,1507,1610,1674,1654,1603,1585,1591,1571,1615,1689,1717,1627,1793,1798
Ukraine,690,655,565,503,416,415,350,335,318,315,309,302,302,316,306,316,310,315,305,257,276,291,285,274,231,191,192,177,188,175,166,172,119
Uzbekistan,119,120,112,112,109,95,97,98,113,114,121,121,124,117,119,113,120,117,122,111,120,123,107,107,100,94,100,105,108,112,110,119,112
America,6141,6121,6228,6375,6519,6606,6855,7200,7285,7329,7552,7534,7404,7507,7636,7702,7631,7786,7617,7166,7514,7382,7250,7403,7453,7298,7170,7096,7161,7023,6268,6729,6846
NorthAmerica,5289,5244,5334,5451,5547,5611,5794,6081,6118,6163,6347,6320,6182,6261,6333,6359,6246,6364,6161,5742,5992,5797,5609,5720,5764,5617,5521,5467,5590,5465,4899,5224,5298
Canada,430,423,436,435,452,461,476,493,498,509,530,524,530,552,545,555,548,580,558,531,546,559,560,568,570,570,567,576,588,573,526,547,563
UnitedStates,4859,4821,4899,5015,5096,5150,5318,5588,5620,5654,5818,5796,5651,5709,5788,5803,5698,5784,5603,5211,5446,5238,5049,5153,5194,5047,4955,4891,5001,4892,4373,4677,4735
LatinAmerica,852,877,894,924,972,996,1061,1119,1167,1166,1204,1214,1222,1246,1303,1344,1385,1423,1456,1424,1522,1585,1641,1682,1689,1681,1649,1628,1571,1558,1370,1505,1548
Argentina,93,99,101,105,108,109,119,121,127,128,127,120,114,124,139,142,150,159,164,153,163,171,173,178,174,180,179,175,171,164,150,166,174
Brazil,194,199,204,211,219,236,255,272,279,289,300,307,305,300,317,321,325,340,359,335,379,400,433,465,491,467,433,441,416,418,396,447,420
Chile,31,29,31,32,36,39,45,52,53,57,53,51,51,53,58,58,60,66,68,66,70,76,79,83,77,82,86,87,87,92,86,91,88
Colombia,47,48,50,52,52,55,54,59,60,52,55,56,54,53,53,54,54,54,55,58,60,65,64,73,74,76,80,72,75,76,75,78,79
Mexico,265,284,286,296,321,304,317,330,353,345,369,371,377,397,404,420,437,440,436,432,446,464,467,458,444,451,457,456,426,432,360,396,438
Asia,4857,5088,5272,5549,5819,6170,6279,6416,6458,6554,6833,7015,7411,8100,8973,9703,10381,11065,11296,11889,12774,13702,14195,14665,14869,14865,14931,15368,15878,16008,15772,16603,17336
China,2255,2370,2462,2631,2757,2944,2939,2968,3085,2996,3140,3275,3534,4108,4836,5471,6052,6514,6707,7218,7798,8488,8752,9163,9166,9116,9090,9279,9601,9721,9859,10397,10504
India,551,593,621,649,690,739,765,804,814,867,903,919,961,990,1040,1085,1156,1257,1338,1472,1570,1662,1810,1859,2024,2035,2059,2176,2303,2266,2068,2281,2481
Indonesia,145,157,165,179,190,212,230,250,252,271,272,290,297,325,332,335,354,372,365,382,410,461,468,429,464,470,461,492,545,586,546,576,739
