Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
OECD,2334 ,2249 ,2181 ,2158 ,2151 ,2149 ,2214 ,2227 ,2212 ,2189 ,2275 ,2263 ,2276 ,2336 ,2346 ,2363 ,2372 ,2426 ,2368 ,2186 ,2269 ,2251 ,2172 ,2165 ,2128 ,2002 ,1906 ,1895 ,1830 ,1615 ,1372 ,1491 ,1463 
G7,1600 ,1519 ,1476 ,1463 ,1454 ,1452 ,1490 ,1497 ,1490 ,1480 ,1541 ,1531 ,1546 ,1586 ,1596 ,1608 ,1602 ,1632 ,1597 ,1434 ,1511 ,1465 ,1393 ,1427 ,1393 ,1267 ,1176 ,1151 ,1100 ,950 ,795 ,890 ,866 
BRICS,1778 ,1821 ,1846 ,1874 ,1934 ,2079 ,2099 ,2081 ,2051 ,1986 ,2085 ,2164 ,2299 ,2609 ,2903 ,3225 ,3528 ,3781 ,3960 ,4211 ,4463 ,4840 ,5057 ,5214 ,5224 ,5117 ,5068 ,5172 ,5313 ,5351 ,5310 ,5679 ,6136 
Europe,1351 ,1243 ,1164 ,1105 ,1066 ,1052 ,1054 ,1023 ,992 ,931 ,972 ,977 ,969 ,997 ,988 ,972 ,992 ,1020 ,972 ,904 ,915 ,960 ,968 ,922 ,890 ,880 ,841 ,846 ,827 ,712 ,605 ,662 ,677 
European Union,1114 ,1012 ,941 ,904 ,880 ,862 ,864 ,830 ,788 ,749 ,771 ,779 ,782 ,804 ,795 ,771 ,776 ,792 ,744 ,685 ,700 ,732 ,735 ,705 ,684 ,680 ,643 ,646 ,621 ,508 ,410 ,460 ,471 
Belgium,17 ,16 ,14 ,14 ,14 ,14 ,13 ,12 ,12 ,11 ,12 ,11 ,10 ,9 ,9 ,8 ,8 ,7 ,7 ,5 ,6 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,4 ,4 ,4 
Czechia,85 ,79 ,74 ,72 ,67 ,66 ,66 ,65 ,59 ,52 ,62 ,60 ,58 ,59 ,58 ,57 ,57 ,59 ,55 ,52 ,52 ,53 ,51 ,48 ,46 ,46 ,46 ,46 ,45 ,42 ,35 ,36 ,39 
France,31 ,34 ,30 ,23 ,23 ,25 ,25 ,23 ,27 ,24 ,24 ,20 ,21 ,21 ,20 ,22 ,21 ,22 ,20 ,17 ,18 ,16 ,18 ,19 ,14 ,14 ,13 ,15 ,13 ,11 ,8 ,11 ,10 
Germany,449 ,368 ,328 ,306 ,289 ,274 ,273 ,260 ,248 ,236 ,244 ,249 ,253 ,255 ,253 ,244 ,245 ,254 ,240 ,226 ,232 ,236 ,247 ,247 ,239 ,239 ,231 ,222 ,216 ,172 ,140 ,163 ,168 
Italy,22 ,21 ,18 ,16 ,17 ,18 ,17 ,17 ,17 ,17 ,19 ,20 ,21 ,22 ,25 ,25 ,25 ,25 ,25 ,20 ,22 ,24 ,25 ,22 ,21 ,20 ,18 ,16 ,14 ,11 ,8 ,9 ,13 
Netherlands,13 ,11 ,11 ,11 ,13 ,14 ,14 ,14 ,14 ,12 ,13 ,13 ,13 ,14 ,14 ,13 ,12 ,13 ,13 ,12 ,12 ,12 ,13 ,13 ,15 ,18 ,17 ,15 ,13 ,10 ,6 ,9 ,9 
