Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
OECD,2308,2190,2126,2017,2060,2067,2091,2115,2103,2063,2039,2117,2085,2056,2102,2145,2174,2178,2177,2075,2103,2111,2053,2026,2053,1935,1744,1791,1755,1649,1392,1424,1460
G7,1552,1444,1389,1300,1342,1333,1347,1356,1352,1320,1284,1336,1304,1275,1324,1337,1358,1350,1358,1255,1267,1283,1214,1179,1186,1071,901,944,916,829,641,699,716
BRICS,1821,1807,1831,1856,1933,2090,2142,2113,2060,2055,2164,2280,2368,2707,3008,3290,3519,3757,3934,4141,4446,4746,4876,4951,4905,4848,4597,4764,5029,5202,5199,5510,6038
Europe,1209,1087,1026,962,909,908,899,879,819,777,777,788,781,780,765,757,758,760,748,723,705,738,730,689,663,653,624,635,628,552,461,497,521
EuropeanUnion,994,881,829,788,762,750,743,715,650,625,625,634,635,637,627,618,611,602,580,556,545,571,574,546,528,519,479,489,474,395,316,346,356
Belgium,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,101,96,87,85,77,74,76,74,68,59,65,66,63,64,62,62,63,63,60,56,55,58,55,49,47,46,45,45,44,41,32,31,35
France,14,13,12,11,10,10,9,7,6,6,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,434,353,314,287,265,252,241,229,212,205,205,206,211,208,211,206,200,205,194,185,184,189,197,191,187,185,176,175,169,131,107,126,131
Italy,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,215,209,198,198,200,200,201,200,178,170,162,163,161,163,162,159,155,145,143,135,133,139,144,142,136,135,131,127,122,112,100,107,107
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,38,32,38,40,41,41,42,34,26,23,29,33,30,33,32,31,35,36,36,34,31,36,34,25,24,25,23,26,24,22,15,18,18
Spain,36,33,33,32,30,28,27,26,26,24,23,23,22,21,20,19,18,17,10,9,8,7,6,4,4,3,2,3,2,0,0,0,0
Sweden,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
UnitedKingdom,93,95,84,68,50,53,50,48,41,37,31,32,30,28,25,20,19,17,18,18,18,19,17,13,12,9,4,3,3,3,2,1,1
Norway,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,1,2,4,3,3,2,1,1,2,2,1,1,0,0,0,0,0,0
Turkiye,47,46,51,49,54,55,56,60,67,67,63,62,54,49,46,58,64,75,79,79,73,75,70,60,65,58,73,74,84,87,75,86,96
