Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,11875 ,12152 ,12262 ,12550 ,12857 ,13296 ,13723 ,14012 ,14373 ,14780 ,15480 ,15597 ,16209 ,16800 ,17571 ,18334 ,19052 ,19885 ,20271 ,20199 ,21589 ,22281 ,22802 ,23488 ,24057 ,24348 ,25042 ,25808 ,26716 ,27057 ,26849 ,28370 ,29029 
OECD,7701 ,7887 ,7962 ,8145 ,8374 ,8626 ,8871 ,8994 ,9216 ,9420 ,9808 ,9690 ,9970 ,10086 ,10334 ,10587 ,10665 ,10861 ,10893 ,10509 ,10988 ,10950 ,10934 ,10943 ,10891 ,10929 ,11022 ,11057 ,11261 ,11105 ,10814 ,11131 ,11225 
G7,6079 ,6223 ,6263 ,6400 ,6562 ,6740 ,6925 ,6965 ,7114 ,7241 ,7496 ,7305 ,7539 ,7598 ,7753 ,7925 ,7950 ,8042 ,8033 ,7689 ,8040 ,7951 ,7886 ,7937 ,7893 ,7884 ,7902 ,7880 ,8027 ,7881 ,7629 ,7811 ,7891 
BRICS,2383 ,2464 ,2505 ,2578 ,2632 ,2748 ,2857 ,2954 ,3019 ,3160 ,3354 ,3490 ,3714 ,4066 ,4443 ,4810 ,5302 ,5823 ,6074 ,6332 ,6996 ,7626 ,7991 ,8518 ,9014 ,9110 ,9554 ,10162 ,10724 ,11152 ,11249 ,12221 ,12703 
Europe,2899 ,2936 ,2924 ,2929 ,2975 ,3069 ,3161 ,3197 ,3277 ,3325 ,3436 ,3502 ,3538 ,3620 ,3704 ,3762 ,3813 ,3858 ,3884 ,3709 ,3866 ,3822 ,3849 ,3823 ,3753 ,3815 ,3852 ,3900 ,3898 ,3839 ,3729 ,3879 ,3770 
European Union,2275 ,2317 ,2303 ,2303 ,2340 ,2409 ,2495 ,2506 ,2560 ,2586 ,2658 ,2734 ,2757 ,2837 ,2908 ,2927 ,2974 ,2988 ,2999 ,2846 ,2984 ,2942 ,2939 ,2921 ,2861 ,2907 ,2928 ,2961 ,2943 ,2907 ,2789 ,2911 ,2806 
Belgium,71 ,72 ,72 ,71 ,72 ,74 ,76 ,79 ,83 ,85 ,84 ,80 ,82 ,85 ,84 ,86 ,85 ,88 ,84 ,91 ,95 ,91 ,83 ,83 ,73 ,70 ,86 ,87 ,75 ,94 ,89 ,100 ,95 
Czechia,63 ,61 ,59 ,59 ,59 ,61 ,64 ,65 ,65 ,65 ,73 ,75 ,76 ,83 ,84 ,83 ,84 ,88 ,84 ,82 ,86 ,87 ,87 ,87 ,86 ,84 ,83 ,87 ,88 ,87 ,82 ,85 ,85 
France,421 ,456 ,464 ,473 ,477 ,494 ,513 ,505 ,511 ,526 ,540 ,550 ,559 ,567 ,574 ,576 ,575 ,570 ,574 ,536 ,569 ,573 ,573 ,582 ,573 ,579 ,564 ,562 ,582 ,571 ,532 ,555 ,473 
Germany,550 ,540 ,537 ,526 ,529 ,537 ,555 ,552 ,556 ,556 ,577 ,586 ,587 ,609 ,618 ,623 ,640 ,641 ,641 ,596 ,633 ,613 ,628 ,639 ,628 ,648 ,650 ,654 ,640 ,607 ,575 ,588 ,578 
Italy,217 ,222 ,226 ,223 ,232 ,241 ,244 ,251 ,260 ,266 ,277 ,279 ,285 ,294 ,303 ,304 ,314 ,314 ,319 ,293 ,302 ,303 ,299 ,290 ,280 ,283 ,290 ,296 ,290 ,294 ,281 ,289 ,285 
Netherlands,72 ,74 ,77 ,77 ,80 ,81 ,85 ,87 ,91 ,87 ,90 ,94 ,96 ,97 ,101 ,100 ,99 ,105 ,108 ,114 ,119 ,114 ,103 ,102 ,103 ,110 ,115 ,117 ,114 ,121 ,123 ,122 ,122 
Poland,136 ,135 ,133 ,134 ,135 ,139 ,143 ,143 ,143 ,142 ,145 ,146 ,144 ,152 ,154 ,157 ,162 ,159 ,155 ,152 ,158 ,164 ,162 ,165 ,159 ,165 ,167 ,170 ,170 ,164 ,158 ,180 ,179 
Portugal,29 ,30 ,30 ,31 ,31 ,33 ,35 ,34 ,39 ,43 ,44 ,47 ,46 ,47 ,45 ,47 ,49 ,47 ,46 ,50 ,54 ,52 ,47 ,52 ,53 ,52 ,60 ,59 ,60 ,53 ,53 ,51 ,49 
Romania,64 ,57 ,54 ,55 ,55 ,59 ,61 ,57 ,53 ,50 ,52 ,54 ,54 ,55 ,56 ,59 ,63 ,62 ,65 ,58 ,61 ,62 ,59 ,59 ,66 ,66 ,65 ,64 ,65 ,60 ,56 ,59 ,56 
Spain,152 ,156 ,159 ,157 ,162 ,167 ,174 ,190 ,195 ,208 ,224 ,236 ,245 ,261 ,280 ,294 ,299 ,305 ,314 ,295 ,302 ,294 ,298 ,286 ,279 ,281 ,275 ,276 ,274 ,273 ,263 ,274 ,292 
Sweden,147 ,147 ,146 ,146 ,143 ,148 ,141 ,149 ,159 ,155 ,145 ,162 ,147 ,135 ,152 ,158 ,143 ,149 ,150 ,137 ,149 ,150 ,167 ,153 ,154 ,162 ,156 ,164 ,163 ,168 ,164 ,172 ,173 
United Kingdom,320 ,323 ,321 ,323 ,326 ,334 ,351 ,351 ,363 ,368 ,377 ,385 ,387 ,398 ,394 ,398 ,397 ,397 ,389 ,377 ,383 ,368 ,364 ,358 ,338 ,340 ,339 ,338 ,333 ,324 ,311 ,308 ,325 
Norway,122 ,111 ,118 ,120 ,113 ,123 ,105 ,112 ,117 ,123 ,143 ,122 ,131 ,107 ,111 ,138 ,122 ,137 ,142 ,132 ,124 ,128 ,148 ,134 ,142 ,145 ,149 ,149 ,147 ,135 ,155 ,158 ,147 
Turkiye,58 ,60 ,67 ,74 ,78 ,86 ,95 ,103 ,111 ,116 ,125 ,123 ,129 ,141 ,151 ,162 ,176 ,192 ,198 ,195 ,211 ,229 ,239 ,240 ,252 ,262 ,274 ,297 ,305 ,304 ,307 ,335 ,326 
CIS,1675 ,1634 ,1529 ,1436 ,1309 ,1270 ,1237 ,1211 ,1193 ,1214 ,1250 ,1270 ,1274 ,1317 ,1346 ,1373 ,1431 ,1458 ,1483 ,1407 ,1483 ,1514 ,1543 ,1538 ,1532 ,1517 ,1545 ,1554 ,1593 ,1596 ,1563 ,1658 ,1617 
Kazakhstan,87 ,86 ,83 ,77 ,66 ,67 ,59 ,52 ,49 ,47 ,51 ,57 ,58 ,64 ,67 ,68 ,72 ,77 ,80 ,79 ,83 ,87 ,93 ,103 ,95 ,92 ,95 ,103 ,108 ,107 ,111 ,118 ,116 
Russia,1082 ,1068 ,1008 ,957 ,876 ,860 ,847 ,834 ,827 ,846 ,878 ,891 ,891 ,916 ,932 ,953 ,996 ,1015 ,1040 ,992 ,1038 ,1055 ,1071 ,1059 ,1064 ,1068 ,1091 ,1094 ,1115 ,1121 ,1090 ,1158 ,1165 
Ukraine,299 ,279 ,253 ,230 ,203 ,194 ,183 ,178 ,173 ,172 ,171 ,173 ,174 ,180 ,182 ,186 ,193 ,196 ,193 ,174 ,189 ,195 ,199 ,194 ,183 ,164 ,165 ,156 ,160 ,154 ,148 ,156 ,113 
Uzbekistan,56 ,54 ,51 ,49 ,48 ,47 ,45 ,46 ,46 ,45 ,47 ,48 ,49 ,49 ,50 ,48 ,49 ,49 ,50 ,50 ,52 ,53 ,53 ,55 ,56 ,57 ,59 ,61 ,63 ,64 ,67 ,71 ,70 
