Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,3176 ,3175 ,3215 ,3241 ,3272 ,3324 ,3414 ,3511 ,3573 ,3511 ,3639 ,3650 ,3614 ,3764 ,3922 ,3968 ,4002 ,3992 ,4023 ,3920 ,4010 ,4052 ,4144 ,4159 ,4241 ,4347 ,4402 ,4392 ,4494 ,4485 ,4164 ,4231 ,4458 
OECD,894 ,914 ,929 ,936 ,971 ,982 ,1008 ,1020 ,1017 ,990 ,1009 ,1005 ,1009 ,1003 ,982 ,931 ,915 ,899 ,863 ,864 ,867 ,868 ,914 ,967 ,1052 ,1098 ,1070 ,1107 ,1213 ,1290 ,1249 ,1262 ,1307 
G7,611 ,610 ,612 ,611 ,632 ,637 ,639 ,641 ,639 ,623 ,616 ,604 ,609 ,598 ,580 ,548 ,550 ,554 ,542 ,558 ,573 ,584 ,639 ,702 ,791 ,845 ,823 ,875 ,995 ,1081 ,1025 ,1037 ,1087 
BRICS,734 ,680 ,608 ,568 ,540 ,537 ,547 ,554 ,557 ,565 ,594 ,619 ,663 ,709 ,754 ,774 ,795 ,810 ,815 ,826 ,862 ,875 ,884 ,887 ,905 ,924 ,928 ,926 ,932 ,949 ,913 ,926 ,948 
Europe,220 ,231 ,246 ,259 ,301 ,314 ,332 ,330 ,327 ,332 ,336 ,326 ,325 ,311 ,298 ,276 ,255 ,242 ,230 ,219 ,202 ,184 ,170 ,161 ,161 ,170 ,170 ,168 ,167 ,163 ,172 ,165 ,156 
European Union,40 ,39 ,39 ,39 ,41 ,40 ,40 ,41 ,40 ,41 ,44 ,43 ,48 ,48 ,48 ,47 ,44 ,43 ,40 ,37 ,35 ,33 ,32 ,32 ,32 ,31 ,28 ,28 ,27 ,26 ,24 ,23 ,21 
Belgium,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Czechia,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
France,3 ,4 ,4 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 
Germany,5 ,5 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,4 ,4 ,4 ,4 ,4 ,3 ,4 ,4 ,4 ,4 ,3 ,3 ,3 ,3 
Italy,5 ,4 ,5 ,5 ,5 ,6 ,6 ,6 ,6 ,5 ,5 ,4 ,6 ,6 ,6 ,7 ,7 ,7 ,7 ,6 ,6 ,6 ,6 ,6 ,7 ,6 ,4 ,5 ,5 ,5 ,6 ,5 ,5 
Netherlands,4 ,4 ,4 ,4 ,5 ,4 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,1 
Poland,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 
