Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,8734 ,8788 ,8796 ,8884 ,8957 ,9182 ,9412 ,9510 ,9559 ,9773 ,10008 ,10090 ,10312 ,10679 ,11152 ,11468 ,11804 ,12120 ,12258 ,12139 ,12816 ,13026 ,13190 ,13385 ,13559 ,13578 ,13701 ,14000 ,14353 ,14523 ,13966 ,14647 ,14951 
OECD,4524 ,4575 ,4624 ,4693 ,4778 ,4877 ,5022 ,5072 ,5090 ,5181 ,5299 ,5279 ,5325 ,5400 ,5501 ,5537 ,5550 ,5572 ,5494 ,5254 ,5429 ,5332 ,5290 ,5326 ,5277 ,5269 ,5285 ,5321 ,5370 ,5331 ,4976 ,5197 ,5180 
G7,3489 ,3525 ,3567 ,3613 ,3675 ,3743 ,3836 ,3851 ,3871 ,3937 ,4028 ,3989 ,4011 ,4045 ,4119 ,4134 ,4117 ,4123 ,4036 ,3835 ,3947 ,3848 ,3801 ,3847 ,3821 ,3800 ,3778 ,3786 ,3830 ,3802 ,3504 ,3669 ,3663 
BRICS,2270 ,2253 ,2215 ,2241 ,2217 ,2300 ,2348 ,2345 ,2352 ,2420 ,2476 ,2526 ,2610 ,2832 ,3077 ,3268 ,3492 ,3697 ,3822 ,3970 ,4307 ,4549 ,4701 ,4804 ,4947 ,4955 ,4972 ,5145 ,5376 ,5531 ,5561 ,5880 ,6059 
Europe,1779 ,1776 ,1736 ,1734 ,1727 ,1778 ,1843 ,1834 ,1849 ,1832 ,1853 ,1888 ,1889 ,1937 ,1958 ,1970 ,1990 ,1964 ,1962 ,1857 ,1932 ,1873 ,1862 ,1843 ,1777 ,1804 ,1824 ,1858 ,1845 ,1815 ,1704 ,1784 ,1713 
European Union,1442 ,1437 ,1398 ,1393 ,1389 ,1433 ,1479 ,1471 ,1480 ,1466 ,1476 ,1512 ,1514 ,1549 ,1567 ,1575 ,1586 ,1563 ,1560 ,1470 ,1529 ,1481 ,1461 ,1445 ,1392 ,1408 ,1419 ,1443 ,1432 ,1407 ,1311 ,1374 ,1313 
Belgium,47 ,49 ,50 ,49 ,52 ,53 ,56 ,56 ,57 ,57 ,58 ,58 ,56 ,58 ,58 ,58 ,57 ,56 ,58 ,56 ,60 ,56 ,54 ,56 ,53 ,53 ,56 ,55 ,53 ,55 ,51 ,56 ,51 
Czechia,50 ,45 ,44 ,43 ,41 ,41 ,43 ,43 ,42 ,39 ,41 ,42 ,43 ,45 ,44 ,45 ,46 ,46 ,45 ,43 ,45 ,43 ,43 ,43 ,42 ,42 ,41 ,43 ,43 ,43 ,40 ,43 ,43 
France,224 ,237 ,233 ,237 ,230 ,239 ,250 ,244 ,251 ,251 ,254 ,260 ,261 ,267 ,271 ,272 ,268 ,265 ,266 ,255 ,263 ,258 ,257 ,259 ,248 ,252 ,248 ,247 ,246 ,242 ,218 ,234 ,212 
Germany,352 ,345 ,338 ,335 ,333 ,337 ,348 ,345 ,343 ,335 ,337 ,347 ,339 ,339 ,341 ,339 ,349 ,331 ,335 ,313 ,330 ,313 ,315 ,322 ,308 ,309 ,310 ,311 ,304 ,297 ,279 ,288 ,270 
Italy,146 ,150 ,149 ,148 ,147 ,159 ,159 ,161 ,166 ,168 ,172 ,172 ,173 ,182 ,183 ,187 ,185 ,185 ,183 ,171 ,174 ,168 ,162 ,156 ,147 ,153 ,151 ,154 ,151 ,149 ,138 ,150 ,145 
Netherlands,67 ,70 ,69 ,71 ,71 ,73 ,77 ,75 ,75 ,74 ,75 ,77 ,77 ,80 ,81 ,80 ,79 ,79 ,78 ,77 ,82 ,77 ,77 ,75 ,71 ,72 ,74 ,75 ,73 ,72 ,69 ,72 ,63 
Poland,103 ,101 ,98 ,101 ,96 ,99 ,103 ,102 ,95 ,92 ,88 ,89 ,88 ,90 ,91 ,92 ,97 ,96 ,98 ,94 ,100 ,101 ,98 ,98 ,94 ,95 ,100 ,104 ,109 ,105 ,102 ,108 ,104 
