Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
OECD,7701.178301,7887.073617,7962.364714,8145.478867,8373.959687,8625.511419,8870.508896,8993.935053,9216.068776,9419.545275,9808.205001,9690.284443,9970.220064,10085.761637,10333.71603,10586.918732,10664.564941,10861.323643,10893.472,10509.340401,10988.251755,10950.009724,10934.401659,10942.792198,10890.947829,10928.734065,11022.099285,11057.012513,11261.250146,11105.374176,10813.887955,11130.628667574,11224.86637718
G7,6078.551272,6222.68149,6263.441796,6400.051857,6562.313312,6739.742951,6924.856815,6964.672567,7113.690667,7240.729227,7496.398174,7305.166793,7538.735308,7598.479507,7752.69685,7925.223436,7949.834305,8041.580773,8032.820589,7689.093115,8039.589012,7950.58938,7886.277938,7937.47588,7893.461221,7884.191576,7902.423379,7880.065543,8027.314037,7880.627196,7629.35625,7811.3752004808,7890.5614483898
BRICS,2382.937,2464.151,2505.142,2578.096,2631.515,2748.324,2857.219,2954.296,3018.833,3160.466,3354.143,3490.459,3714.466,4065.956,4442.92,4809.864,5302.109,5823.074,6073.926,6332.181,6995.82,7625.598,7990.715,8517.723,9013.621,9109.91,9554.412,10162.499602,10723.552461,11151.688546,11249.068172,12220.624114538,12703.027558628
Europe,2898.594301,2935.540417,2924.08684,2929.47397,2975.265723,3068.918555,3161.215043,3197.037651,3277.434004,3324.688476,3436.054017,3501.812238,3537.822666,3620.360343,3704.378631,3762.22745,3812.782529,3858.089105,3884.054796,3709.006725,3865.90408,3822.381902,3848.721139,3823.036035,3753.233293,3814.673783,3852.331397,3900.119974,3897.739589,3839.00588,3729.133279,3879.1148096282,3769.6884980093
European Union,2275.258401,2316.883717,2302.915814,2303.153367,2340.338055,2409.360416,2494.744397,2506.013067,2559.564211,2586.318995,2658.299053,2734.042251,2756.70786,2837.025439,2908.023744,2926.644669,2973.772035,2987.780861,2998.714044,2846.441531,2984.034211,2942.019739,2939.112186,2920.991661,2861.341598,2906.571039,2928.150724,2960.925689,2943.051779,2907.22371,2789.359553,2911.214935,2805.6382494508
Belgium,70.923,71.936,72.225,70.834,72.179,74.408,76.099,78.833,83.183,84.514,84.012,79.821,82.069,84.63,84.209581,85.677564,84.587785,88.102568,84.397149,91.184317,94.5815,90.5879,83.0444,83.4977,72.5455,69.7084,85.6097,86.6188,75.0397,93.6458,89.4554,100.4654,95.084421020367
Czechia,62.559,60.528,59.293,58.881,58.705,60.847,64.257,64.598,65.112452,64.694232,73.464918,74.647397,76.347477,83.226141,84.334903,82.579571,84.360019,88.200096,83.646492,82.185712,85.90436,87.474007,87.418148,86.913261,86.147804,83.889858,83.310076,87.056157,88.037916,87.055699,81.568022,85.08178,84.70762125839
France,420.752272,455.55649,463.639796,472.707857,476.867312,494.273951,513.397815,504.769567,511.276667,525.806227,539.954939,549.530761,559.064739,566.838525,574.054409,576.061843,574.870645,569.768391,573.806794,535.925135,569.288117,573.134037,572.789495,582.309578,572.607717,579.464504,564.08202,561.977419,581.819227,570.949016,532.386314,555.283114,472.70056972359
Germany,550.015,539.634,537.47,526.276,529.16,537.284,555.372,551.554,556.393,556.3,576.543,586.406,586.694,609.256,618.069,623.114,640.114,641.352,641.221,596.47,633.12,613.123,628.313,638.701,627.806,648.308,650.449,653.723,640.468,606.917,575.462,588.3432,578.49802860564
Italy,216.6,221.816,226.254,222.802,231.813,241.489,244.433,251.473,259.8,265.667,276.641235,279.009032,285.275569,293.883982,303.347441,303.701593,314.12166,313.888382,319.131795,292.64098,302.061895,302.580343,299.276443,289.802302,279.826504,282.991072,289.768359,295.830009,289.708433,293.852993,280.531016,289.069532,285.27920072644
